Device: cuda
Surface: tiles | epochs=100 lr=0.001 batch=8 seed=42
Latest log:  outputs\tiles_train.log
History log: outputs\training_history\tiles_20260518_002153.log
Dataset sizes -> train: 235  val: 49  test: 52
Train class counts: {'clean': 84, 'smudged': 74, 'cracked': 77}
Class weights:      {'clean': 0.933, 'smudged': 1.27, 'cracked': 1.526}
Input channels: 6
Total trainable parameters: 1,208,323
Epoch 01/100 | Train Loss: 1.0141 | Train Acc:  46.0% | Val Loss: 0.7630 | Val Acc:  67.3% | LR: 0.001000
Epoch 02/100 | Train Loss: 1.0563 | Train Acc:  43.0% | Val Loss: 0.8377 | Val Acc:  69.4% | LR: 0.001000
Epoch 03/100 | Train Loss: 1.0322 | Train Acc:  48.5% | Val Loss: 0.8228 | Val Acc:  67.3% | LR: 0.001000
Epoch 04/100 | Train Loss: 0.9851 | Train Acc:  52.3% | Val Loss: 1.0376 | Val Acc:  67.3% | LR: 0.001000
Epoch 05/100 | Train Loss: 0.9709 | Train Acc:  51.1% | Val Loss: 0.9734 | Val Acc:  53.1% | LR: 0.001000
Epoch 06/100 | Train Loss: 0.9830 | Train Acc:  53.6% | Val Loss: 0.8434 | Val Acc:  61.2% | LR: 0.001000
Epoch 07/100 | Train Loss: 0.9640 | Train Acc:  56.2% | Val Loss: 0.7973 | Val Acc:  67.3% | LR: 0.001000
Epoch 08/100 | Train Loss: 1.0125 | Train Acc:  54.0% | Val Loss: 0.8710 | Val Acc:  57.1% | LR: 0.001000
Epoch 09/100 | Train Loss: 0.9872 | Train Acc:  56.2% | Val Loss: 0.8865 | Val Acc:  65.3% | LR: 0.000500
Epoch 10/100 | Train Loss: 0.9640 | Train Acc:  55.3% | Val Loss: 0.8771 | Val Acc:  67.3% | LR: 0.000500
Epoch 11/100 | Train Loss: 0.9083 | Train Acc:  58.3% | Val Loss: 0.7832 | Val Acc:  67.3% | LR: 0.000500
Epoch 12/100 | Train Loss: 0.9706 | Train Acc:  58.7% | Val Loss: 0.8146 | Val Acc:  69.4% | LR: 0.000500
Epoch 13/100 | Train Loss: 0.9387 | Train Acc:  56.2% | Val Loss: 0.7812 | Val Acc:  67.3% | LR: 0.000500
Epoch 14/100 | Train Loss: 0.9552 | Train Acc:  54.9% | Val Loss: 0.7893 | Val Acc:  65.3% | LR: 0.000500
Epoch 15/100 | Train Loss: 0.9194 | Train Acc:  57.4% | Val Loss: 0.7765 | Val Acc:  65.3% | LR: 0.000500
Epoch 16/100 | Train Loss: 0.8953 | Train Acc:  63.0% | Val Loss: 0.6513 | Val Acc:  71.4% | LR: 0.000500
Epoch 17/100 | Train Loss: 0.8911 | Train Acc:  59.6% | Val Loss: 0.8331 | Val Acc:  65.3% | LR: 0.000500
Epoch 18/100 | Train Loss: 0.9363 | Train Acc:  59.6% | Val Loss: 0.7139 | Val Acc:  73.5% | LR: 0.000500
Epoch 19/100 | Train Loss: 0.9193 | Train Acc:  57.0% | Val Loss: 0.7880 | Val Acc:  67.3% | LR: 0.000500
Epoch 20/100 | Train Loss: 0.9244 | Train Acc:  55.7% | Val Loss: 0.7504 | Val Acc:  67.3% | LR: 0.000500
Epoch 21/100 | Train Loss: 0.8661 | Train Acc:  63.4% | Val Loss: 0.7323 | Val Acc:  69.4% | LR: 0.000500
Epoch 22/100 | Train Loss: 0.8618 | Train Acc:  63.8% | Val Loss: 0.6749 | Val Acc:  69.4% | LR: 0.000500
Epoch 23/100 | Train Loss: 0.8561 | Train Acc:  65.5% | Val Loss: 0.7305 | Val Acc:  71.4% | LR: 0.000500
Epoch 24/100 | Train Loss: 0.8538 | Train Acc:  62.1% | Val Loss: 0.7309 | Val Acc:  65.3% | LR: 0.000250
Epoch 25/100 | Train Loss: 0.8402 | Train Acc:  61.3% | Val Loss: 0.7184 | Val Acc:  69.4% | LR: 0.000250
Epoch 26/100 | Train Loss: 0.8402 | Train Acc:  66.8% | Val Loss: 0.7146 | Val Acc:  71.4% | LR: 0.000250
Epoch 27/100 | Train Loss: 0.9011 | Train Acc:  62.6% | Val Loss: 0.6991 | Val Acc:  71.4% | LR: 0.000250
Epoch 28/100 | Train Loss: 0.8497 | Train Acc:  62.6% | Val Loss: 0.6578 | Val Acc:  67.3% | LR: 0.000250
Epoch 29/100 | Train Loss: 0.8693 | Train Acc:  60.9% | Val Loss: 0.6471 | Val Acc:  73.5% | LR: 0.000250
Epoch 30/100 | Train Loss: 0.8181 | Train Acc:  62.6% | Val Loss: 0.6214 | Val Acc:  77.6% | LR: 0.000250
Epoch 31/100 | Train Loss: 0.8010 | Train Acc:  66.4% | Val Loss: 0.6834 | Val Acc:  71.4% | LR: 0.000250
Epoch 32/100 | Train Loss: 0.7741 | Train Acc:  68.1% | Val Loss: 0.6283 | Val Acc:  69.4% | LR: 0.000250
Epoch 33/100 | Train Loss: 0.8631 | Train Acc:  61.3% | Val Loss: 0.6796 | Val Acc:  69.4% | LR: 0.000250
Epoch 34/100 | Train Loss: 0.8424 | Train Acc:  63.4% | Val Loss: 0.6525 | Val Acc:  71.4% | LR: 0.000250
Epoch 35/100 | Train Loss: 0.8728 | Train Acc:  63.0% | Val Loss: 0.6514 | Val Acc:  73.5% | LR: 0.000250
Epoch 36/100 | Train Loss: 0.8233 | Train Acc:  61.7% | Val Loss: 0.6184 | Val Acc:  73.5% | LR: 0.000250
Epoch 37/100 | Train Loss: 0.8327 | Train Acc:  62.1% | Val Loss: 0.6260 | Val Acc:  73.5% | LR: 0.000250
Epoch 38/100 | Train Loss: 0.8259 | Train Acc:  68.1% | Val Loss: 0.7043 | Val Acc:  67.3% | LR: 0.000250
Epoch 39/100 | Train Loss: 0.7876 | Train Acc:  64.7% | Val Loss: 0.6562 | Val Acc:  69.4% | LR: 0.000250
Epoch 40/100 | Train Loss: 0.8234 | Train Acc:  65.5% | Val Loss: 0.6134 | Val Acc:  75.5% | LR: 0.000250
Epoch 41/100 | Train Loss: 0.8002 | Train Acc:  60.4% | Val Loss: 0.6428 | Val Acc:  71.4% | LR: 0.000250
Epoch 42/100 | Train Loss: 0.8261 | Train Acc:  66.8% | Val Loss: 0.6665 | Val Acc:  69.4% | LR: 0.000250
Epoch 43/100 | Train Loss: 0.7517 | Train Acc:  71.1% | Val Loss: 0.6058 | Val Acc:  77.6% | LR: 0.000250
Epoch 44/100 | Train Loss: 0.8511 | Train Acc:  58.3% | Val Loss: 0.7855 | Val Acc:  63.3% | LR: 0.000250
Epoch 45/100 | Train Loss: 0.8435 | Train Acc:  62.1% | Val Loss: 0.6983 | Val Acc:  69.4% | LR: 0.000250
Epoch 46/100 | Train Loss: 0.7779 | Train Acc:  64.7% | Val Loss: 0.6600 | Val Acc:  71.4% | LR: 0.000250
Epoch 47/100 | Train Loss: 0.8157 | Train Acc:  67.7% | Val Loss: 0.6463 | Val Acc:  67.3% | LR: 0.000250
Epoch 48/100 | Train Loss: 0.7998 | Train Acc:  67.7% | Val Loss: 0.6340 | Val Acc:  69.4% | LR: 0.000250
Epoch 49/100 | Train Loss: 0.7869 | Train Acc:  68.1% | Val Loss: 0.5864 | Val Acc:  71.4% | LR: 0.000250
