Device: cuda
Surface: tiles | epochs=80 lr=0.001 batch=8 seed=42
Latest log:  outputs\tiles_train.log
History log: outputs\training_history\tiles_20260517_221047.log
Dataset sizes -> train: 235  val: 49  test: 52
Train class counts: {'clean': 84, 'smudged': 74, 'cracked': 77}
Class weights:      {'clean': 0.933, 'smudged': 1.059, 'cracked': 1.017}
Input channels: 6
Total trainable parameters: 1,208,323
Epoch 01/80 | Train Loss: 0.9906 | Train Acc:  47.7% | Val Loss: 0.9294 | Val Acc:  57.1% | LR: 0.001000
Epoch 02/80 | Train Loss: 1.0302 | Train Acc:  48.5% | Val Loss: 0.8370 | Val Acc:  57.1% | LR: 0.001000
Epoch 03/80 | Train Loss: 0.9852 | Train Acc:  50.6% | Val Loss: 0.7638 | Val Acc:  63.3% | LR: 0.001000
Epoch 04/80 | Train Loss: 0.9946 | Train Acc:  49.4% | Val Loss: 0.8554 | Val Acc:  63.3% | LR: 0.001000
Epoch 05/80 | Train Loss: 0.9624 | Train Acc:  51.1% | Val Loss: 0.9140 | Val Acc:  55.1% | LR: 0.001000
Epoch 06/80 | Train Loss: 0.9478 | Train Acc:  53.2% | Val Loss: 0.7742 | Val Acc:  65.3% | LR: 0.001000
Epoch 07/80 | Train Loss: 0.9214 | Train Acc:  53.6% | Val Loss: 0.7276 | Val Acc:  67.3% | LR: 0.001000
Epoch 08/80 | Train Loss: 0.9589 | Train Acc:  54.9% | Val Loss: 0.7269 | Val Acc:  71.4% | LR: 0.001000
Epoch 09/80 | Train Loss: 0.9204 | Train Acc:  59.6% | Val Loss: 0.9107 | Val Acc:  61.2% | LR: 0.001000
Epoch 10/80 | Train Loss: 0.9836 | Train Acc:  51.1% | Val Loss: 0.7645 | Val Acc:  61.2% | LR: 0.001000
Epoch 11/80 | Train Loss: 0.9101 | Train Acc:  54.0% | Val Loss: 0.6933 | Val Acc:  73.5% | LR: 0.001000
Epoch 12/80 | Train Loss: 0.9262 | Train Acc:  54.5% | Val Loss: 0.7489 | Val Acc:  69.4% | LR: 0.001000
Epoch 13/80 | Train Loss: 0.9174 | Train Acc:  56.6% | Val Loss: 0.7473 | Val Acc:  71.4% | LR: 0.001000
Epoch 14/80 | Train Loss: 0.9194 | Train Acc:  56.2% | Val Loss: 1.0733 | Val Acc:  55.1% | LR: 0.001000
Epoch 15/80 | Train Loss: 0.9201 | Train Acc:  54.5% | Val Loss: 0.7786 | Val Acc:  61.2% | LR: 0.001000
Epoch 16/80 | Train Loss: 0.8954 | Train Acc:  61.3% | Val Loss: 0.7758 | Val Acc:  63.3% | LR: 0.001000
Epoch 17/80 | Train Loss: 0.9544 | Train Acc:  52.8% | Val Loss: 0.7232 | Val Acc:  67.3% | LR: 0.001000
Epoch 18/80 | Train Loss: 0.9155 | Train Acc:  57.4% | Val Loss: 0.7915 | Val Acc:  63.3% | LR: 0.001000
Epoch 19/80 | Train Loss: 0.9336 | Train Acc:  54.9% | Val Loss: 0.7009 | Val Acc:  69.4% | LR: 0.000500
Epoch 20/80 | Train Loss: 0.8578 | Train Acc:  57.0% | Val Loss: 0.8000 | Val Acc:  67.3% | LR: 0.000500
Epoch 21/80 | Train Loss: 0.8017 | Train Acc:  59.6% | Val Loss: 0.6667 | Val Acc:  69.4% | LR: 0.000500
Epoch 22/80 | Train Loss: 0.8161 | Train Acc:  63.0% | Val Loss: 0.6622 | Val Acc:  69.4% | LR: 0.000500
Epoch 23/80 | Train Loss: 0.8008 | Train Acc:  64.7% | Val Loss: 0.6896 | Val Acc:  69.4% | LR: 0.000500
