Device: cpu
Surface: wood | epochs=150 lr=0.0005 batch=8 seed=42
Smudge boost: 4.0 | Cracked boost: 1.2
Mixup alpha: 0.0 | TTA: True
Dataset sizes -> train: 245  val: 52  test: 55
Train class counts: {'clean': 81, 'smudged': 80, 'cracked': 84}
Class weights:      {'clean': 1.008, 'smudged': 4.083, 'cracked': 1.167}
Input channels: 6
Total trainable parameters: 1,263,903
Epoch 001/150 | Train Loss: 0.6001 | Train Acc:  60.8% | Val Loss: 1.5769 | Val Acc:  32.7% | LR: 0.000500
Epoch 002/150 | Train Loss: 0.5922 | Train Acc:  57.6% | Val Loss: 1.2394 | Val Acc:  32.7% | LR: 0.000500
Epoch 003/150 | Train Loss: 0.4935 | Train Acc:  60.0% | Val Loss: 1.1854 | Val Acc:  32.7% | LR: 0.000500
Epoch 004/150 | Train Loss: 0.4754 | Train Acc:  66.1% | Val Loss: 1.4170 | Val Acc:  38.5% | LR: 0.000499
Epoch 005/150 | Train Loss: 0.4900 | Train Acc:  62.9% | Val Loss: 1.5860 | Val Acc:  40.4% | LR: 0.000499
Epoch 006/150 | Train Loss: 0.4571 | Train Acc:  66.1% | Val Loss: 1.8687 | Val Acc:  48.1% | LR: 0.000498
Epoch 007/150 | Train Loss: 0.4562 | Train Acc:  67.3% | Val Loss: 1.2333 | Val Acc:  48.1% | LR: 0.000497
Epoch 008/150 | Train Loss: 0.4829 | Train Acc:  66.1% | Val Loss: 1.1070 | Val Acc:  46.2% | LR: 0.000497
Epoch 009/150 | Train Loss: 0.4430 | Train Acc:  66.5% | Val Loss: 1.0694 | Val Acc:  48.1% | LR: 0.000496
Epoch 010/150 | Train Loss: 0.4393 | Train Acc:  70.6% | Val Loss: 1.2467 | Val Acc:  42.3% | LR: 0.000495
Epoch 011/150 | Train Loss: 0.4294 | Train Acc:  66.1% | Val Loss: 1.9114 | Val Acc:  44.2% | LR: 0.000493
Epoch 012/150 | Train Loss: 0.3957 | Train Acc:  67.8% | Val Loss: 1.5130 | Val Acc:  40.4% | LR: 0.000492
Epoch 013/150 | Train Loss: 0.5026 | Train Acc:  62.0% | Val Loss: 1.2949 | Val Acc:  38.5% | LR: 0.000491
Epoch 014/150 | Train Loss: 0.5178 | Train Acc:  66.5% | Val Loss: 1.2198 | Val Acc:  44.2% | LR: 0.000489
Epoch 015/150 | Train Loss: 0.4714 | Train Acc:  67.3% | Val Loss: 1.1813 | Val Acc:  42.3% | LR: 0.000488
Epoch 016/150 | Train Loss: 0.3886 | Train Acc:  74.3% | Val Loss: 1.1337 | Val Acc:  44.2% | LR: 0.000486
Epoch 017/150 | Train Loss: 0.4834 | Train Acc:  69.8% | Val Loss: 1.1473 | Val Acc:  44.2% | LR: 0.000484
Epoch 018/150 | Train Loss: 0.4991 | Train Acc:  64.9% | Val Loss: 1.3165 | Val Acc:  42.3% | LR: 0.000482
Epoch 019/150 | Train Loss: 0.4076 | Train Acc:  73.5% | Val Loss: 1.2614 | Val Acc:  44.2% | LR: 0.000481
Epoch 020/150 | Train Loss: 0.4570 | Train Acc:  68.2% | Val Loss: 1.3462 | Val Acc:  40.4% | LR: 0.000478
Epoch 021/150 | Train Loss: 0.3854 | Train Acc:  74.7% | Val Loss: 1.1846 | Val Acc:  50.0% | LR: 0.000476
Epoch 022/150 | Train Loss: 0.3748 | Train Acc:  70.6% | Val Loss: 1.1720 | Val Acc:  50.0% | LR: 0.000474
Epoch 023/150 | Train Loss: 0.4890 | Train Acc:  65.3% | Val Loss: 0.9746 | Val Acc:  51.9% | LR: 0.000472
Epoch 024/150 | Train Loss: 0.3479 | Train Acc:  74.7% | Val Loss: 0.9340 | Val Acc:  50.0% | LR: 0.000469
Epoch 025/150 | Train Loss: 0.3982 | Train Acc:  73.1% | Val Loss: 1.3682 | Val Acc:  46.2% | LR: 0.000467
Epoch 026/150 | Train Loss: 0.4336 | Train Acc:  70.2% | Val Loss: 1.0696 | Val Acc:  50.0% | LR: 0.000464
Epoch 027/150 | Train Loss: 0.4535 | Train Acc:  69.4% | Val Loss: 0.9368 | Val Acc:  51.9% | LR: 0.000461
Epoch 028/150 | Train Loss: 0.4172 | Train Acc:  70.2% | Val Loss: 1.4370 | Val Acc:  42.3% | LR: 0.000458
Epoch 029/150 | Train Loss: 0.4757 | Train Acc:  65.3% | Val Loss: 1.2026 | Val Acc:  48.1% | LR: 0.000455
Epoch 030/150 | Train Loss: 0.3761 | Train Acc:  71.4% | Val Loss: 0.9666 | Val Acc:  53.8% | LR: 0.000452
Epoch 031/150 | Train Loss: 0.4146 | Train Acc:  71.4% | Val Loss: 1.4003 | Val Acc:  44.2% | LR: 0.000449
Epoch 032/150 | Train Loss: 0.3963 | Train Acc:  70.2% | Val Loss: 1.0704 | Val Acc:  48.1% | LR: 0.000446
Epoch 033/150 | Train Loss: 0.3377 | Train Acc:  72.7% | Val Loss: 1.0331 | Val Acc:  55.8% | LR: 0.000443
Epoch 034/150 | Train Loss: 0.4389 | Train Acc:  69.8% | Val Loss: 1.1790 | Val Acc:  53.8% | LR: 0.000439
Epoch 035/150 | Train Loss: 0.4469 | Train Acc:  69.8% | Val Loss: 0.9229 | Val Acc:  51.9% | LR: 0.000436
Epoch 036/150 | Train Loss: 0.3815 | Train Acc:  71.8% | Val Loss: 1.0656 | Val Acc:  53.8% | LR: 0.000432
Epoch 037/150 | Train Loss: 0.3867 | Train Acc:  74.3% | Val Loss: 1.0540 | Val Acc:  46.2% | LR: 0.000429
Epoch 038/150 | Train Loss: 0.3482 | Train Acc:  71.8% | Val Loss: 1.3523 | Val Acc:  46.2% | LR: 0.000425
Epoch 039/150 | Train Loss: 0.3870 | Train Acc:  71.4% | Val Loss: 1.0935 | Val Acc:  59.6% | LR: 0.000421
Epoch 040/150 | Train Loss: 0.3556 | Train Acc:  74.3% | Val Loss: 0.9477 | Val Acc:  61.5% | LR: 0.000417
Epoch 041/150 | Train Loss: 0.3850 | Train Acc:  74.7% | Val Loss: 1.3388 | Val Acc:  48.1% | LR: 0.000414
Epoch 042/150 | Train Loss: 0.3827 | Train Acc:  70.6% | Val Loss: 1.2397 | Val Acc:  46.2% | LR: 0.000410
Epoch 043/150 | Train Loss: 0.3401 | Train Acc:  75.1% | Val Loss: 1.0200 | Val Acc:  57.7% | LR: 0.000405
Epoch 044/150 | Train Loss: 0.3926 | Train Acc:  72.7% | Val Loss: 1.0276 | Val Acc:  59.6% | LR: 0.000401
Epoch 045/150 | Train Loss: 0.3655 | Train Acc:  75.5% | Val Loss: 0.8492 | Val Acc:  69.2% | LR: 0.000397
Epoch 046/150 | Train Loss: 0.3188 | Train Acc:  80.4% | Val Loss: 1.0047 | Val Acc:  61.5% | LR: 0.000393
Epoch 047/150 | Train Loss: 0.3447 | Train Acc:  76.7% | Val Loss: 0.8587 | Val Acc:  63.5% | LR: 0.000389
Epoch 048/150 | Train Loss: 0.3331 | Train Acc:  77.1% | Val Loss: 1.0467 | Val Acc:  55.8% | LR: 0.000384
Epoch 049/150 | Train Loss: 0.3376 | Train Acc:  77.1% | Val Loss: 1.0047 | Val Acc:  59.6% | LR: 0.000380
Epoch 050/150 | Train Loss: 0.3047 | Train Acc:  75.5% | Val Loss: 0.9826 | Val Acc:  57.7% | LR: 0.000375
Epoch 051/150 | Train Loss: 0.2597 | Train Acc:  78.4% | Val Loss: 1.3961 | Val Acc:  50.0% | LR: 0.000371
Epoch 052/150 | Train Loss: 0.2888 | Train Acc:  79.2% | Val Loss: 1.1293 | Val Acc:  63.5% | LR: 0.000366
Epoch 053/150 | Train Loss: 0.3797 | Train Acc:  72.7% | Val Loss: 0.9952 | Val Acc:  63.5% | LR: 0.000361
Epoch 054/150 | Train Loss: 0.3204 | Train Acc:  78.0% | Val Loss: 1.0441 | Val Acc:  59.6% | LR: 0.000357
Epoch 055/150 | Train Loss: 0.2767 | Train Acc:  77.1% | Val Loss: 1.2863 | Val Acc:  59.6% | LR: 0.000352
Epoch 056/150 | Train Loss: 0.3791 | Train Acc:  75.9% | Val Loss: 1.0937 | Val Acc:  55.8% | LR: 0.000347
Epoch 057/150 | Train Loss: 0.3425 | Train Acc:  77.6% | Val Loss: 1.2317 | Val Acc:  59.6% | LR: 0.000342
Epoch 058/150 | Train Loss: 0.3365 | Train Acc:  79.6% | Val Loss: 1.0566 | Val Acc:  61.5% | LR: 0.000337
Epoch 059/150 | Train Loss: 0.2755 | Train Acc:  79.6% | Val Loss: 1.0977 | Val Acc:  59.6% | LR: 0.000333
Epoch 060/150 | Train Loss: 0.4283 | Train Acc:  71.4% | Val Loss: 1.0004 | Val Acc:  59.6% | LR: 0.000328
Epoch 061/150 | Train Loss: 0.3255 | Train Acc:  78.0% | Val Loss: 1.2264 | Val Acc:  63.5% | LR: 0.000323
Epoch 062/150 | Train Loss: 0.3310 | Train Acc:  80.4% | Val Loss: 0.8357 | Val Acc:  67.3% | LR: 0.000318
Epoch 063/150 | Train Loss: 0.2253 | Train Acc:  84.9% | Val Loss: 1.1416 | Val Acc:  63.5% | LR: 0.000313
Epoch 064/150 | Train Loss: 0.3456 | Train Acc:  76.3% | Val Loss: 0.9324 | Val Acc:  61.5% | LR: 0.000307
Epoch 065/150 | Train Loss: 0.2622 | Train Acc:  82.4% | Val Loss: 1.0868 | Val Acc:  61.5% | LR: 0.000302
Epoch 066/150 | Train Loss: 0.3272 | Train Acc:  78.0% | Val Loss: 1.2487 | Val Acc:  59.6% | LR: 0.000297
Epoch 067/150 | Train Loss: 0.3010 | Train Acc:  78.0% | Val Loss: 1.0858 | Val Acc:  51.9% | LR: 0.000292
Epoch 068/150 | Train Loss: 0.3797 | Train Acc:  73.5% | Val Loss: 0.9573 | Val Acc:  59.6% | LR: 0.000287
Epoch 069/150 | Train Loss: 0.3037 | Train Acc:  80.0% | Val Loss: 1.1022 | Val Acc:  57.7% | LR: 0.000282
Epoch 070/150 | Train Loss: 0.2456 | Train Acc:  82.0% | Val Loss: 1.1107 | Val Acc:  61.5% | LR: 0.000277
Epoch 071/150 | Train Loss: 0.3068 | Train Acc:  80.0% | Val Loss: 0.9600 | Val Acc:  53.8% | LR: 0.000271
Epoch 072/150 | Train Loss: 0.3890 | Train Acc:  75.9% | Val Loss: 1.0418 | Val Acc:  61.5% | LR: 0.000266
Epoch 073/150 | Train Loss: 0.2670 | Train Acc:  81.6% | Val Loss: 0.8882 | Val Acc:  63.5% | LR: 0.000261
Epoch 074/150 | Train Loss: 0.1911 | Train Acc:  88.2% | Val Loss: 1.1989 | Val Acc:  61.5% | LR: 0.000256
Epoch 075/150 | Train Loss: 0.3369 | Train Acc:  80.0% | Val Loss: 0.9454 | Val Acc:  67.3% | LR: 0.000251
Epoch 076/150 | Train Loss: 0.3199 | Train Acc:  82.0% | Val Loss: 0.9909 | Val Acc:  65.4% | LR: 0.000245
Epoch 077/150 | Train Loss: 0.2994 | Train Acc:  80.0% | Val Loss: 1.0070 | Val Acc:  69.2% | LR: 0.000240
Epoch 078/150 | Train Loss: 0.2221 | Train Acc:  86.5% | Val Loss: 1.0759 | Val Acc:  63.5% | LR: 0.000235
Epoch 079/150 | Train Loss: 0.3053 | Train Acc:  77.6% | Val Loss: 0.9691 | Val Acc:  59.6% | LR: 0.000230
Epoch 080/150 | Train Loss: 0.2888 | Train Acc:  81.6% | Val Loss: 1.1618 | Val Acc:  61.5% | LR: 0.000224
Early stopping at epoch 80 (no val_acc improvement for 35 epochs).

Loading best checkpoint: outputs\wood_best.pth

=== TEST RESULTS: wood ===
Test Accuracy: 52.7%
Per-class accuracy:
  clean   :  52.6%
  smudged :  77.8%
  cracked :  27.8%
