Device: cuda
Surface: tiles | epochs=100 lr=0.001 batch=8 seed=42
Latest log:  outputs\tiles_train.log
History log: outputs\training_history\tiles_20260517_234125.log
Dataset sizes -> train: 235  val: 49  test: 52
Train class counts: {'clean': 84, 'smudged': 74, 'cracked': 77}
Class weights:      {'clean': 0.933, 'smudged': 1.059, 'cracked': 1.526}
Input channels: 6
Total trainable parameters: 4,849,155
Epoch 01/100 | Train Loss: 1.1562 | Train Acc:  35.7% | Val Loss: 1.0919 | Val Acc:  46.9% | LR: 0.001000
Epoch 02/100 | Train Loss: 1.0705 | Train Acc:  46.0% | Val Loss: 0.9050 | Val Acc:  63.3% | LR: 0.001000
Epoch 03/100 | Train Loss: 1.0285 | Train Acc:  48.5% | Val Loss: 1.2584 | Val Acc:  63.3% | LR: 0.001000
Epoch 04/100 | Train Loss: 1.0568 | Train Acc:  44.3% | Val Loss: 0.9660 | Val Acc:  44.9% | LR: 0.001000
Epoch 05/100 | Train Loss: 1.0176 | Train Acc:  51.5% | Val Loss: 0.9274 | Val Acc:  63.3% | LR: 0.001000
Epoch 06/100 | Train Loss: 1.0188 | Train Acc:  47.2% | Val Loss: 0.8366 | Val Acc:  61.2% | LR: 0.001000
Epoch 07/100 | Train Loss: 0.9687 | Train Acc:  54.0% | Val Loss: 0.8876 | Val Acc:  69.4% | LR: 0.001000
Epoch 08/100 | Train Loss: 0.9867 | Train Acc:  52.3% | Val Loss: 1.1273 | Val Acc:  46.9% | LR: 0.001000
Epoch 09/100 | Train Loss: 0.9706 | Train Acc:  51.1% | Val Loss: 0.9089 | Val Acc:  69.4% | LR: 0.001000
Epoch 10/100 | Train Loss: 0.9536 | Train Acc:  53.2% | Val Loss: 0.8392 | Val Acc:  67.3% | LR: 0.001000
Epoch 11/100 | Train Loss: 0.9184 | Train Acc:  57.0% | Val Loss: 0.6963 | Val Acc:  69.4% | LR: 0.001000
Epoch 12/100 | Train Loss: 0.9694 | Train Acc:  56.6% | Val Loss: 0.8410 | Val Acc:  71.4% | LR: 0.001000
Epoch 13/100 | Train Loss: 0.9225 | Train Acc:  57.4% | Val Loss: 0.8927 | Val Acc:  63.3% | LR: 0.001000
