Device: cuda
Surface: tiles | epochs=100 lr=0.001 batch=8 seed=42
Latest log:  outputs\tiles_train.log
History log: outputs\training_history\tiles_20260518_005155.log
Dataset sizes -> train: 235  val: 49  test: 52
Train class counts: {'clean': 84, 'smudged': 74, 'cracked': 77}
Class weights:      {'clean': 0.933, 'smudged': 1.217, 'cracked': 1.628}
Input channels: 6
Total trainable parameters: 1,208,323
Epoch 01/100 | Train Loss: 1.0146 | Train Acc:  46.8% | Val Loss: 0.7567 | Val Acc:  71.4% | LR: 0.001000
Epoch 02/100 | Train Loss: 1.0567 | Train Acc:  42.1% | Val Loss: 0.8304 | Val Acc:  73.5% | LR: 0.001000
Epoch 03/100 | Train Loss: 1.0349 | Train Acc:  50.2% | Val Loss: 0.7885 | Val Acc:  65.3% | LR: 0.001000
Epoch 04/100 | Train Loss: 0.9983 | Train Acc:  51.5% | Val Loss: 1.0563 | Val Acc:  59.2% | LR: 0.001000
Epoch 05/100 | Train Loss: 0.9813 | Train Acc:  49.8% | Val Loss: 1.0033 | Val Acc:  51.0% | LR: 0.001000
Epoch 06/100 | Train Loss: 0.9767 | Train Acc:  53.2% | Val Loss: 0.9156 | Val Acc:  55.1% | LR: 0.001000
Epoch 07/100 | Train Loss: 0.9825 | Train Acc:  51.9% | Val Loss: 0.8425 | Val Acc:  67.3% | LR: 0.001000
Epoch 08/100 | Train Loss: 1.0219 | Train Acc:  49.4% | Val Loss: 0.8361 | Val Acc:  63.3% | LR: 0.001000
Epoch 09/100 | Train Loss: 0.9607 | Train Acc:  57.4% | Val Loss: 0.8807 | Val Acc:  61.2% | LR: 0.000500
Epoch 10/100 | Train Loss: 0.9715 | Train Acc:  55.7% | Val Loss: 0.9328 | Val Acc:  61.2% | LR: 0.000500
Epoch 11/100 | Train Loss: 0.9310 | Train Acc:  54.5% | Val Loss: 0.9001 | Val Acc:  65.3% | LR: 0.000500
Epoch 12/100 | Train Loss: 0.9737 | Train Acc:  58.7% | Val Loss: 0.8658 | Val Acc:  63.3% | LR: 0.000500
Epoch 13/100 | Train Loss: 0.9251 | Train Acc:  58.7% | Val Loss: 0.8676 | Val Acc:  59.2% | LR: 0.000500
Epoch 14/100 | Train Loss: 0.9339 | Train Acc:  54.0% | Val Loss: 0.8037 | Val Acc:  63.3% | LR: 0.000500
Epoch 15/100 | Train Loss: 0.9397 | Train Acc:  51.9% | Val Loss: 0.8069 | Val Acc:  65.3% | LR: 0.000500
Epoch 16/100 | Train Loss: 0.9011 | Train Acc:  60.9% | Val Loss: 0.7365 | Val Acc:  67.3% | LR: 0.000500
Epoch 17/100 | Train Loss: 0.9084 | Train Acc:  57.4% | Val Loss: 0.8001 | Val Acc:  63.3% | LR: 0.000500
Epoch 18/100 | Train Loss: 0.9288 | Train Acc:  60.9% | Val Loss: 0.8127 | Val Acc:  65.3% | LR: 0.000500
Epoch 19/100 | Train Loss: 0.9322 | Train Acc:  57.4% | Val Loss: 0.8167 | Val Acc:  63.3% | LR: 0.000500
Epoch 20/100 | Train Loss: 0.9441 | Train Acc:  58.3% | Val Loss: 0.6990 | Val Acc:  71.4% | LR: 0.000500
Epoch 21/100 | Train Loss: 0.8764 | Train Acc:  62.1% | Val Loss: 0.7636 | Val Acc:  67.3% | LR: 0.000500
Epoch 22/100 | Train Loss: 0.8644 | Train Acc:  61.3% | Val Loss: 0.7319 | Val Acc:  65.3% | LR: 0.000500
Epoch 23/100 | Train Loss: 0.8516 | Train Acc:  62.1% | Val Loss: 0.7042 | Val Acc:  71.4% | LR: 0.000500
Epoch 24/100 | Train Loss: 0.8873 | Train Acc:  61.7% | Val Loss: 0.6978 | Val Acc:  73.5% | LR: 0.000500
Epoch 25/100 | Train Loss: 0.8543 | Train Acc:  61.7% | Val Loss: 0.6961 | Val Acc:  65.3% | LR: 0.000500
Epoch 26/100 | Train Loss: 0.8608 | Train Acc:  61.3% | Val Loss: 0.7653 | Val Acc:  63.3% | LR: 0.000500
Epoch 27/100 | Train Loss: 0.8861 | Train Acc:  62.6% | Val Loss: 0.7256 | Val Acc:  69.4% | LR: 0.000500
Epoch 28/100 | Train Loss: 0.8666 | Train Acc:  60.9% | Val Loss: 0.7025 | Val Acc:  63.3% | LR: 0.000500
Epoch 29/100 | Train Loss: 0.9111 | Train Acc:  54.5% | Val Loss: 0.7090 | Val Acc:  63.3% | LR: 0.000500
Epoch 30/100 | Train Loss: 0.8444 | Train Acc:  61.3% | Val Loss: 0.6656 | Val Acc:  71.4% | LR: 0.000500
Epoch 31/100 | Train Loss: 0.8437 | Train Acc:  63.4% | Val Loss: 0.6825 | Val Acc:  67.3% | LR: 0.000500
Epoch 32/100 | Train Loss: 0.8055 | Train Acc:  64.7% | Val Loss: 0.6779 | Val Acc:  65.3% | LR: 0.000500
Epoch 33/100 | Train Loss: 0.8679 | Train Acc:  59.1% | Val Loss: 0.6246 | Val Acc:  77.6% | LR: 0.000500
Epoch 34/100 | Train Loss: 0.8730 | Train Acc:  62.1% | Val Loss: 0.8917 | Val Acc:  55.1% | LR: 0.000500
Epoch 35/100 | Train Loss: 0.8948 | Train Acc:  60.0% | Val Loss: 0.7319 | Val Acc:  65.3% | LR: 0.000500
Epoch 36/100 | Train Loss: 0.8630 | Train Acc:  60.9% | Val Loss: 0.7552 | Val Acc:  65.3% | LR: 0.000500
Epoch 37/100 | Train Loss: 0.8598 | Train Acc:  62.6% | Val Loss: 0.7262 | Val Acc:  71.4% | LR: 0.000500
Epoch 38/100 | Train Loss: 0.8376 | Train Acc:  63.4% | Val Loss: 0.6884 | Val Acc:  65.3% | LR: 0.000500
Epoch 39/100 | Train Loss: 0.7914 | Train Acc:  63.8% | Val Loss: 0.6412 | Val Acc:  71.4% | LR: 0.000500
Epoch 40/100 | Train Loss: 0.8755 | Train Acc:  59.1% | Val Loss: 0.6226 | Val Acc:  69.4% | LR: 0.000500
Epoch 41/100 | Train Loss: 0.8082 | Train Acc:  62.1% | Val Loss: 0.6306 | Val Acc:  71.4% | LR: 0.000500
Epoch 42/100 | Train Loss: 0.8377 | Train Acc:  66.4% | Val Loss: 0.6876 | Val Acc:  65.3% | LR: 0.000500
Epoch 43/100 | Train Loss: 0.7838 | Train Acc:  67.2% | Val Loss: 0.7338 | Val Acc:  63.3% | LR: 0.000500
Epoch 44/100 | Train Loss: 0.8759 | Train Acc:  55.7% | Val Loss: 0.6516 | Val Acc:  73.5% | LR: 0.000500
Epoch 45/100 | Train Loss: 0.8285 | Train Acc:  64.7% | Val Loss: 0.6501 | Val Acc:  69.4% | LR: 0.000500
Epoch 46/100 | Train Loss: 0.7731 | Train Acc:  68.1% | Val Loss: 0.6702 | Val Acc:  67.3% | LR: 0.000500
Epoch 47/100 | Train Loss: 0.8251 | Train Acc:  65.1% | Val Loss: 0.6750 | Val Acc:  71.4% | LR: 0.000500
Epoch 48/100 | Train Loss: 0.8491 | Train Acc:  65.5% | Val Loss: 0.6417 | Val Acc:  69.4% | LR: 0.000250
Epoch 49/100 | Train Loss: 0.7998 | Train Acc:  64.7% | Val Loss: 0.6084 | Val Acc:  79.6% | LR: 0.000250
Epoch 50/100 | Train Loss: 0.8552 | Train Acc:  66.0% | Val Loss: 0.5891 | Val Acc:  75.5% | LR: 0.000250
Epoch 51/100 | Train Loss: 0.7887 | Train Acc:  62.6% | Val Loss: 0.5961 | Val Acc:  73.5% | LR: 0.000250
Epoch 52/100 | Train Loss: 0.7660 | Train Acc:  70.2% | Val Loss: 0.5660 | Val Acc:  79.6% | LR: 0.000250
Epoch 53/100 | Train Loss: 0.7590 | Train Acc:  68.5% | Val Loss: 0.5730 | Val Acc:  75.5% | LR: 0.000250
Epoch 54/100 | Train Loss: 0.7625 | Train Acc:  68.5% | Val Loss: 0.5975 | Val Acc:  73.5% | LR: 0.000250
Epoch 55/100 | Train Loss: 0.7280 | Train Acc:  71.1% | Val Loss: 0.5829 | Val Acc:  69.4% | LR: 0.000250
Epoch 56/100 | Train Loss: 0.7084 | Train Acc:  69.8% | Val Loss: 0.5605 | Val Acc:  81.6% | LR: 0.000250
Epoch 57/100 | Train Loss: 0.7539 | Train Acc:  68.9% | Val Loss: 0.6035 | Val Acc:  73.5% | LR: 0.000250
Epoch 58/100 | Train Loss: 0.7240 | Train Acc:  70.2% | Val Loss: 0.5825 | Val Acc:  77.6% | LR: 0.000250
Epoch 59/100 | Train Loss: 0.7705 | Train Acc:  66.8% | Val Loss: 0.5730 | Val Acc:  79.6% | LR: 0.000250
Epoch 60/100 | Train Loss: 0.7107 | Train Acc:  68.1% | Val Loss: 0.5894 | Val Acc:  75.5% | LR: 0.000250
Epoch 61/100 | Train Loss: 0.7438 | Train Acc:  68.9% | Val Loss: 0.5905 | Val Acc:  77.6% | LR: 0.000250
Epoch 62/100 | Train Loss: 0.7240 | Train Acc:  67.2% | Val Loss: 0.5859 | Val Acc:  73.5% | LR: 0.000250
Epoch 63/100 | Train Loss: 0.6679 | Train Acc:  73.6% | Val Loss: 0.5207 | Val Acc:  81.6% | LR: 0.000250
Epoch 64/100 | Train Loss: 0.7571 | Train Acc:  67.2% | Val Loss: 0.5553 | Val Acc:  69.4% | LR: 0.000250
Epoch 65/100 | Train Loss: 0.6928 | Train Acc:  73.6% | Val Loss: 0.5658 | Val Acc:  73.5% | LR: 0.000250
Epoch 66/100 | Train Loss: 0.7576 | Train Acc:  70.2% | Val Loss: 0.5181 | Val Acc:  77.6% | LR: 0.000250
